Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
710;;MIELECKI SCHRON;K.G-01.35;3.00;0.00;0.00;0.00;Szczegóły
711;;MOHUTNA SZCZELINA;K.Pd-01.24;21.00;13.00;13.00;0.00;Szczegóły
712;;MOKRA DZIURA;K.Pc-01.13;6.00;0.00;0.00;0.00;Szczegóły
713;;MOKRA IZDEBKA I;K.Pst-02.01;10.00;3.00;0.00;3.00;Szczegóły
714;;MOKRA IZDEBKA II;K.Pst-02.02;9.00;0.00;0.00;0.00;Szczegóły
715;;MOKRA STUDZIENKA;K.Bn-04.07 N;5.00;3.00;3.00;0.00;Szczegóły
716;;MOKRY OKAP W WIŚLE MALINCE;K.Bs-03.207;2.00;0.00;0.00;0.00;Szczegóły GPS
717;;"MURONKA ""A""";K.Bs-02.70 N;2.00;0.00;0.00;0.00;Szczegóły
718;;"MURONKA ""B""";K.Bs-02.71;4.00;1.60;1.60;0.00;Szczegóły GPS
719;;"MURONKA ""C""";K.Bs-02.72;3.50;0.00;0.00;0.00;Szczegóły GPS
720;;MYSIOROWA JAMA W ZAGÓRZU;K.Bmk-03.01;282.50;11.80;11.80;0.00;Szczegóły GPS
721;;NADCZELUŚĆ NA MURONCE;K.Bs-02.123;2.54;0.00;0.00;0.00;Szczegóły GPS
722;;NAMIOT SKALNY;K.Bs-03. 50;2.00;0.00;0.00;0.00;Szczegóły GPS
723;;NIEDOSTĘPNY OKAP NA MURONCE;K.Bs-02.128;1.60;0.00;0.00;0.00;Szczegóły GPS
724;;NIEZBYT DŁUGA SZCZELINA;K.Bsz-02.28;3.40;1.00;1.00;0.00;Szczegóły
